# List of all Hordeum genes mapped on one of the seven chromosomes of the Hv_IBSC_PGSB_v21			
# Chromosome / Start position of the gene (in bp from the origin of the chromosome)			
# with local recombination rate estimates (from MareyMap):  loess with span=0.2 and degree=2			
Gene	Chromosome	Start	Recombination
HORVU6Hr1G019730	6H	54001233	0.08
HORVU6Hr1G005830	6H	12886897	1.46
HORVU6Hr1G002630	6H	6767768	1.43
HORVU6Hr1G001640	6H	4965464	1.42
HORVU6Hr1G011140	6H	19604837	1.47
HORVU6Hr1G002150	6H	6060610	1.42
HORVU6Hr1G002770	6H	6962947	1.43
HORVU6Hr1G011620	6H	21429084	1.36
HORVU6Hr1G003300	6H	7696550	1.44
HORVU6Hr1G014790	6H	32048922	0.88
HORVU6Hr1G005390	6H	12012122	1.42
HORVU6Hr1G003990	6H	8685426	1.44
HORVU6Hr1G021030	6H	61364386	0.09
HORVU6Hr1G009880	6H	17637297	1.53
HORVU6Hr1G018280	6H	45740054	0.27
HORVU6Hr1G019340	6H	52377310	0.13
HORVU6Hr1G020710	6H	59145116	0.04
HORVU6Hr1G002460	6H	6384025	1.43
HORVU6Hr1G010740	6H	18937635	1.49
HORVU6Hr1G009270	6H	16539448	1.54
HORVU6Hr1G014350	6H	30503486	1
HORVU6Hr1G014300	6H	30371902	1.01
HORVU6Hr1G013910	6H	29385558	1.1
HORVU6Hr1G010580	6H	18785090	1.5
HORVU6Hr1G018640	6H	47752580	0.22
HORVU6Hr1G019670	6H	53877533	0.08
HORVU6Hr1G003620	6H	8087012	1.44
HORVU6Hr1G000520	6H	1151482	1.4
HORVU6Hr1G001100	6H	3729511	1.41
HORVU6Hr1G009510	6H	16985625	1.54
HORVU6Hr1G018290	6H	45787671	0.28
HORVU6Hr1G012500	6H	24563986	1.34
HORVU6Hr1G006710	6H	14233437	1.52
HORVU6Hr1G009530	6H	17022032	1.54
HORVU6Hr1G017190	6H	40341932	0.4
HORVU6Hr1G001520	6H	4826279	1.42
HORVU6Hr1G004840	6H	10430158	1.44
HORVU6Hr1G019940	6H	55215757	0.05
HORVU6Hr1G014520	6H	30849409	0.97
HORVU6Hr1G016480	6H	37353813	0.61
HORVU6Hr1G016260	6H	36218514	0.66
HORVU6Hr1G002530	6H	6623948	1.43
HORVU6Hr1G020090	6H	55717583	0.05
HORVU6Hr1G000650	6H	1589235	1.4
HORVU6Hr1G017260	6H	40417255	0.39
HORVU6Hr1G003860	6H	8414703	1.44
HORVU6Hr1G002400	6H	6328401	1.43
HORVU6Hr1G009360	6H	16696234	1.54
HORVU6Hr1G019780	6H	54341384	0.07
HORVU6Hr1G020110	6H	55774062	0.04
HORVU6Hr1G014540	6H	30897260	0.96
HORVU6Hr1G016170	6H	36128959	0.66
HORVU6Hr1G004100	6H	9085448	1.44
HORVU6Hr1G012610	6H	24824235	1.33
HORVU6Hr1G014690	6H	31411460	0.92
HORVU6Hr1G019370	6H	52492680	0.12
HORVU6Hr1G016340	6H	36638586	0.64
HORVU6Hr1G008470	6H	15545391	1.54
HORVU6Hr1G018480	6H	47259651	0.25
HORVU6Hr1G005420	6H	12034331	1.42
HORVU6Hr1G013610	6H	28152388	1.19
HORVU6Hr1G008580	6H	15681266	1.54
HORVU6Hr1G002420	6H	6359005	1.43
HORVU6Hr1G017910	6H	43641782	0.27
HORVU6Hr1G018420	6H	46538711	0.3
HORVU6Hr1G004980	6H	10666950	1.44
HORVU6Hr1G009930	6H	17724055	1.53
HORVU6Hr1G005220	6H	11475836	1.43
HORVU6Hr1G021620	6H	66191452	0.06
HORVU6Hr1G018520	6H	47359727	0.24
HORVU6Hr1G004450	6H	9948789	1.44
HORVU6Hr1G006100	6H	13444494	1.49
HORVU6Hr1G009850	6H	17568115	1.53
HORVU6Hr1G004040	6H	8817149	1.44
HORVU6Hr1G018090	6H	44534875	0.26
HORVU6Hr1G008860	6H	16102575	1.54
HORVU6Hr1G005810	6H	12816162	1.46
HORVU6Hr1G007110	6H	14568955	1.52
HORVU6Hr1G007360	6H	14708773	1.53
HORVU6Hr1G010840	6H	19119704	1.49
HORVU6Hr1G020320	6H	56977995	0.04
HORVU6Hr1G019190	6H	50788664	0.19
HORVU6Hr1G005240	6H	11509347	1.43
HORVU6Hr1G000070	6H	329127	NA
HORVU6Hr1G014570	6H	30961540	0.95
HORVU6Hr1G003480	6H	7904652	1.44
HORVU6Hr1G016510	6H	37452368	0.6
HORVU6Hr1G019800	6H	54480462	0.07
HORVU6Hr1G014610	6H	31123674	0.94
HORVU6Hr1G010200	6H	18013579	1.52
HORVU6Hr1G004770	6H	10278961	1.44
HORVU6Hr1G003000	6H	7243879	1.44
HORVU6Hr1G001960	6H	5686173	1.42
HORVU6Hr1G010540	6H	18620431	1.51
HORVU6Hr1G006510	6H	13963585	1.51
HORVU6Hr1G000620	6H	1360622	1.4
HORVU6Hr1G013760	6H	28873091	1.14
HORVU6Hr1G001110	6H	3777633	1.41
HORVU6Hr1G005510	6H	12304004	1.43
HORVU6Hr1G017460	6H	41291239	0.34
HORVU6Hr1G019320	6H	52051618	0.14
HORVU6Hr1G001030	6H	3270406	1.41
HORVU6Hr1G005990	6H	13203599	1.48
HORVU6Hr1G000660	6H	1692032	1.4
HORVU6Hr1G017830	6H	43103886	0.28
HORVU6Hr1G010110	6H	17899298	1.53
HORVU6Hr1G016920	6H	38560335	0.54
HORVU6Hr1G001580	6H	4886975	1.42
HORVU6Hr1G009450	6H	16885640	1.54
HORVU6Hr1G005770	6H	12754340	1.46
HORVU6Hr1G010980	6H	19367551	1.48
HORVU6Hr1G014870	6H	32409965	0.86
HORVU6Hr1G009700	6H	17203020	1.54
HORVU6Hr1G003890	6H	8449061	1.44
HORVU6Hr1G015490	6H	34157323	0.76
HORVU6Hr1G016160	6H	36102400	0.66
HORVU6Hr1G006130	6H	13467212	1.49
HORVU6Hr1G004580	6H	10035795	1.44
HORVU6Hr1G014880	6H	32416934	0.86
HORVU6Hr1G020160	6H	55938706	0.04
HORVU6Hr1G010420	6H	18415302	1.51
HORVU6Hr1G007470	6H	14752173	1.53
HORVU6Hr1G000380	6H	978923	1.4
HORVU6Hr1G012270	6H	23633092	1.35
HORVU6Hr1G010820	6H	19063370	1.49
HORVU6Hr1G016280	6H	36393078	0.65
HORVU6Hr1G013110	6H	26119584	1.3
HORVU6Hr1G013930	6H	29446830	1.1
HORVU6Hr1G000030	6H	163421	NA
HORVU6Hr1G010300	6H	18081270	1.52
HORVU6Hr1G014720	6H	31703781	0.9
HORVU6Hr1G020530	6H	58467918	0.04
HORVU6Hr1G016100	6H	36026750	0.67
HORVU6Hr1G016670	6H	37713567	0.59
HORVU6Hr1G000630	6H	1489303	1.4
HORVU6Hr1G021130	6H	61692214	0.08
HORVU6Hr1G020720	6H	59555539	0.05
HORVU6Hr1G011450	6H	20729838	1.4
HORVU6Hr1G017010	6H	39315181	0.47
HORVU6Hr1G005690	6H	12565858	1.45
HORVU6Hr1G000040	6H	212418	NA
HORVU6Hr1G000960	6H	3074335	1.41
HORVU6Hr1G006190	6H	13595753	1.49
HORVU6Hr1G009560	6H	17080541	1.54
HORVU6Hr1G020200	6H	55995334	0.04
HORVU6Hr1G000310	6H	898483	1.4
HORVU6Hr1G018920	6H	49541658	0.18
HORVU6Hr1G021060	6H	61433037	0.09
HORVU6Hr1G005060	6H	10843447	1.44
HORVU6Hr1G015460	6H	34031719	0.77
HORVU6Hr1G012030	6H	22764300	1.34
HORVU6Hr1G017590	6H	41763797	0.32
HORVU6Hr1G004590	6H	10044161	1.44
HORVU6Hr1G016950	6H	38657406	0.53
HORVU6Hr1G010960	6H	19324872	1.48
HORVU6Hr1G006080	6H	13375100	1.49
HORVU6Hr1G016530	6H	37483614	0.6
HORVU6Hr1G005760	6H	12751029	1.46
HORVU6Hr1G013410	6H	27575175	1.23
HORVU6Hr1G008970	6H	16195605	1.54
HORVU6Hr1G005710	6H	12617685	1.45
HORVU6Hr1G015210	6H	33388765	0.8
HORVU6Hr1G014890	6H	32476324	0.85
HORVU6Hr1G017760	6H	42660012	0.29
HORVU6Hr1G014140	6H	30164589	1.03
HORVU6Hr1G008680	6H	15843523	1.54
HORVU6Hr1G015050	6H	32775077	0.84
HORVU6Hr1G004990	6H	10691525	1.44
HORVU6Hr1G021260	6H	63082575	0.08
HORVU6Hr1G004420	6H	9918069	1.44
HORVU6Hr1G001980	6H	5695266	1.42
HORVU6Hr1G013440	6H	27649916	1.22
HORVU6Hr1G021510	6H	65225890	0.07
HORVU6Hr1G001990	6H	5704211	1.42
HORVU6Hr1G018020	6H	44139586	0.26
HORVU6Hr1G001830	6H	5456597	1.42
HORVU6Hr1G013160	6H	26383232	1.29
HORVU6Hr1G009160	6H	16402809	1.54
HORVU6Hr1G002230	6H	6137844	1.43
HORVU6Hr1G011080	6H	19546565	1.47
HORVU6Hr1G002110	6H	5978278	1.42
HORVU6Hr1G004340	6H	9814995	1.44
HORVU6Hr1G001800	6H	5433192	1.42
HORVU6Hr1G011510	6H	21084511	1.38
HORVU6Hr1G020900	6H	60850305	0.07
HORVU6Hr1G002600	6H	6738204	1.43
HORVU6Hr1G016800	6H	38203439	0.57
HORVU6Hr1G018690	6H	48036789	0.21
HORVU6Hr1G007340	6H	14694376	1.53
HORVU6Hr1G011030	6H	19498252	1.47
HORVU6Hr1G019870	6H	54653128	0.06
HORVU6Hr1G017850	6H	43318375	0.27
HORVU6Hr1G001870	6H	5533229	1.42
HORVU6Hr1G010460	6H	18487668	1.51
HORVU6Hr1G021440	6H	64487785	0.07
HORVU6Hr1G019560	6H	53183324	0.1
HORVU6Hr1G000710	6H	2052520	1.4
HORVU6Hr1G014980	6H	32594838	0.85
HORVU6Hr1G017710	6H	42378405	0.3
HORVU6Hr1G000060	6H	309564	NA
HORVU6Hr1G008920	6H	16151019	1.54
HORVU6Hr1G005170	6H	11314367	1.43
HORVU6Hr1G017230	6H	40412204	0.39
HORVU6Hr1G020910	6H	61014054	0.08
HORVU6Hr1G009070	6H	16334102	1.54
HORVU6Hr1G004560	6H	10031635	1.44
HORVU6Hr1G007130	6H	14576744	1.52
HORVU6Hr1G016300	6H	36433872	0.65
HORVU6Hr1G007030	6H	14499960	1.52
HORVU6Hr1G005570	6H	12363356	1.44
HORVU6Hr1G017330	6H	40759801	0.37
HORVU6Hr1G001530	6H	4844534	1.42
HORVU6Hr1G010370	6H	18337220	1.51
HORVU6Hr1G008010	6H	14965155	1.53
HORVU6Hr1G018380	6H	46462194	0.29
HORVU6Hr1G001510	6H	4815552	1.42
HORVU6Hr1G012760	6H	25162390	1.33
HORVU6Hr1G016200	6H	36153322	0.66
HORVU6Hr1G003720	6H	8160783	1.44
HORVU6Hr1G000130	6H	342892	1.41
HORVU6Hr1G000470	6H	1097918	1.4
HORVU6Hr1G012190	6H	23342313	1.35
HORVU6Hr1G007500	6H	14759403	1.53
HORVU6Hr1G016500	6H	37437707	0.6
HORVU6Hr1G009470	6H	16889814	1.54
HORVU6Hr1G016310	6H	36562732	0.64
HORVU6Hr1G009570	6H	17086829	1.54
HORVU6Hr1G016250	6H	36217741	0.66
HORVU6Hr1G008790	6H	16002003	1.54
HORVU6Hr1G018190	6H	45278659	0.27
HORVU6Hr1G011630	6H	21434114	1.36
HORVU6Hr1G001880	6H	5535008	1.42
HORVU6Hr1G005970	6H	13139876	1.48
HORVU6Hr1G003730	6H	8164345	1.44
HORVU6Hr1G010150	6H	17966412	1.52
HORVU6Hr1G014100	6H	30083334	1.04
HORVU6Hr1G000610	6H	1356277	1.4
HORVU6Hr1G006040	6H	13218223	1.48
HORVU6Hr1G003800	6H	8228024	1.44
HORVU6Hr1G007960	6H	14955337	1.53
HORVU6Hr1G001400	6H	4542930	1.41
HORVU6Hr1G021160	6H	61756996	0.08
HORVU6Hr1G008840	6H	16081808	1.54
HORVU6Hr1G007180	6H	14599430	1.52
HORVU6Hr1G004030	6H	8808592	1.44
HORVU6Hr1G015630	6H	34867354	0.72
HORVU6Hr1G021480	6H	65121857	0.07
HORVU6Hr1G002260	6H	6161868	1.43
HORVU6Hr1G002610	6H	6757691	1.43
HORVU6Hr1G000320	6H	905247	1.4
HORVU6Hr1G012040	6H	22807700	1.34
HORVU6Hr1G001680	6H	5167710	1.42
HORVU6Hr1G002020	6H	5729843	1.42
HORVU6Hr1G000870	6H	2710767	1.41
HORVU6Hr1G004190	6H	9320449	1.44
HORVU6Hr1G001270	6H	4135170	1.41
HORVU6Hr1G011710	6H	21593308	1.35
HORVU6Hr1G000340	6H	964950	1.4
HORVU6Hr1G011380	6H	20662035	1.41
HORVU6Hr1G013530	6H	27785748	1.22
HORVU6Hr1G010910	6H	19310415	1.48
HORVU6Hr1G006090	6H	13379738	1.49
HORVU6Hr1G002670	6H	6775123	1.43
HORVU6Hr1G007550	6H	14770513	1.53
HORVU6Hr1G005020	6H	10718132	1.44
HORVU6Hr1G012280	6H	23845161	1.35
HORVU6Hr1G020780	6H	60163718	0.06
HORVU6Hr1G016880	6H	38471974	0.55
HORVU6Hr1G010350	6H	18256775	1.52
HORVU6Hr1G020000	6H	55396530	0.05
HORVU6Hr1G012000	6H	22388335	1.34
HORVU6Hr1G005580	6H	12371132	1.44
HORVU6Hr1G019040	6H	49800619	0.18
HORVU6Hr1G015030	6H	32754893	0.84
HORVU6Hr1G009730	6H	17330491	1.54
HORVU6Hr1G013650	6H	28236216	1.19
HORVU6Hr1G016850	6H	38404516	0.56
HORVU6Hr1G006010	6H	13213170	1.48
HORVU6Hr1G009000	6H	16233252	1.54
HORVU6Hr1G002780	6H	6968267	1.43
HORVU6Hr1G018810	6H	48709146	0.19
HORVU6Hr1G004800	6H	10335581	1.44
HORVU6Hr1G021090	6H	61620465	0.09
HORVU6Hr1G001150	6H	3867801	1.41
HORVU6Hr1G016970	6H	39051932	0.5
HORVU6Hr1G010530	6H	18594570	1.51
HORVU6Hr1G018620	6H	47633368	0.23
HORVU6Hr1G002710	6H	6914734	1.43
HORVU6Hr1G001770	6H	5396692	1.42
HORVU6Hr1G002870	6H	7026052	1.43
HORVU6Hr1G004900	6H	10471033	1.44
HORVU6Hr1G019920	6H	55133443	0.05
HORVU6Hr1G008530	6H	15562108	1.54
HORVU6Hr1G008650	6H	15815806	1.54
HORVU6Hr1G007080	6H	14563102	1.52
HORVU6Hr1G009720	6H	17281803	1.54
HORVU6Hr1G020610	6H	58814530	0.04
HORVU6Hr1G016900	6H	38490004	0.55
HORVU6Hr1G011820	6H	21948837	1.33
HORVU6Hr1G009330	6H	16623868	1.54
HORVU6Hr1G017930	6H	43776800	0.26
HORVU6Hr1G007560	6H	14772633	1.53
HORVU6Hr1G019960	6H	55308999	0.05
HORVU6Hr1G018010	6H	44125695	0.26
HORVU6Hr1G016290	6H	36401855	0.65
HORVU6Hr1G001410	6H	4551043	1.41
HORVU6Hr1G000360	6H	967975	1.4
HORVU6Hr1G013030	6H	25875426	1.31
HORVU6Hr1G012600	6H	24778133	1.33
HORVU6Hr1G009790	6H	17408043	1.54
HORVU6Hr1G004850	6H	10435805	1.44
HORVU6Hr1G007540	6H	14769652	1.53
HORVU6Hr1G018250	6H	45512724	0.27
HORVU6Hr1G015330	6H	33613170	0.79
HORVU6Hr1G003130	6H	7328754	1.44
HORVU6Hr1G014200	6H	30206537	1.03
HORVU6Hr1G016410	6H	36962990	0.62
HORVU6Hr1G009030	6H	16262068	1.54
HORVU6Hr1G004380	6H	9893655	1.44
HORVU6Hr1G011010	6H	19414128	1.47
HORVU6Hr1G016790	6H	38203029	0.57
HORVU6Hr1G000430	6H	1042853	1.4
HORVU6Hr1G018160	6H	45201262	0.27
HORVU6Hr1G095340	6H	583329926	1.3
HORVU6Hr1G093940	6H	580307102	1.25
HORVU6Hr1G091550	6H	575769878	1.19
HORVU6Hr1G078990	6H	536502866	0.72
HORVU6Hr1G085120	6H	557775734	0.76
HORVU6Hr1G075870	6H	522552832	0.45
HORVU6Hr1G088200	6H	565799867	1
HORVU6Hr1G051990	6H	319245725	0.01
HORVU6Hr1G033160	6H	149856196	0.03
HORVU6Hr1G070670	6H	492317577	0.14
HORVU6Hr1G035520	6H	171950458	0.02
HORVU6Hr1G054060	6H	340591782	0.02
HORVU6Hr1G082320	6H	548145529	0.88
HORVU6Hr1G048410	6H	293085821	0
HORVU6Hr1G086060	6H	560910208	0.91
HORVU6Hr1G069910	6H	485070656	0.12
HORVU6Hr1G061940	6H	414351834	0.08
HORVU6Hr1G038120	6H	192956246	0.02
HORVU6Hr1G031920	6H	137590678	0.03
HORVU6Hr1G020330	6H	56978027	0.04
HORVU6Hr1G078810	6H	536024167	0.71
HORVU6Hr1G047970	6H	288108794	0
HORVU6Hr1G015850	6H	35332616	0.7
HORVU6Hr1G094650	6H	581552567	1.27
HORVU6Hr1G076470	6H	526184771	0.53
HORVU6Hr1G093540	6H	579642553	1.24
HORVU6Hr1G063060	6H	423977332	0.08
HORVU6Hr1G051760	6H	316930406	0
HORVU6Hr1G064120	6H	433296922	0.07
HORVU6Hr1G032690	6H	144014493	0.03
HORVU6Hr1G065250	6H	446935135	0.05
HORVU6Hr1G064820	6H	442928653	0.05
HORVU6Hr1G035040	6H	166230581	0.03
HORVU6Hr1G089000	6H	567935419	1.05
HORVU6Hr1G074060	6H	512225967	0.25
HORVU6Hr1G058290	6H	381104860	0.08
HORVU6Hr1G022360	6H	70645069	0.04
HORVU6Hr1G067480	6H	467875841	0.09
HORVU6Hr1G025210	6H	90198606	0
HORVU6Hr1G040900	6H	221552713	0.01
HORVU6Hr1G091620	6H	575953451	1.19
HORVU6Hr1G016240	6H	36195453	0.66
HORVU6Hr1G062830	6H	420832324	0.08
HORVU6Hr1G084630	6H	555702889	0.73
HORVU6Hr1G026060	6H	96883556	0
HORVU6Hr1G031330	6H	132098828	0.03
HORVU6Hr1G095140	6H	583099054	1.3
HORVU6Hr1G094560	6H	581420812	1.27
HORVU6Hr1G083540	6H	551826142	0.83
HORVU6Hr1G051380	6H	312530053	0
HORVU6Hr1G084300	6H	553919206	0.75
HORVU6Hr1G076600	6H	526487967	0.53
HORVU6Hr1G048180	6H	290392640	0
HORVU6Hr1G088440	6H	566539638	1.02
HORVU6Hr1G083570	6H	552026950	0.82
HORVU6Hr1G034840	6H	165333047	0.03
HORVU6Hr1G059100	6H	390755567	0.07
HORVU6Hr1G027460	6H	107806941	0.02
HORVU6Hr1G030880	6H	130232824	0.03
HORVU6Hr1G075440	6H	519593622	0.36
HORVU6Hr1G026540	6H	101694354	0.01
HORVU6Hr1G017220	6H	40408681	0.39
HORVU6Hr1G018050	6H	44243132	0.26
HORVU6Hr1G052230	6H	320935516	0.01
HORVU6Hr1G061750	6H	413274272	0.08
HORVU6Hr1G094790	6H	582023507	1.28
HORVU6Hr1G054690	6H	346600984	0.02
HORVU6Hr1G055750	6H	355019832	0.03
HORVU6Hr1G051440	6H	313255239	0
HORVU6Hr1G066570	6H	460622075	0.07
HORVU6Hr1G051860	6H	317894528	0
HORVU6Hr1G062260	6H	417358434	0.08
HORVU6Hr1G057670	6H	375132831	0.07
HORVU6Hr1G028920	6H	116467133	0.04
HORVU6Hr1G093490	6H	579581865	1.24
HORVU6Hr1G014700	6H	31518733	0.91
HORVU6Hr1G089280	6H	568605488	1.06
HORVU6Hr1G060150	6H	399377886	0.08
HORVU6Hr1G043520	6H	245508898	0
HORVU6Hr1G020380	6H	57291641	0.03
HORVU6Hr1G040540	6H	219263779	0.01
HORVU6Hr1G086650	6H	561879683	0.95
HORVU6Hr1G027500	6H	108209554	0.02
HORVU6Hr1G080310	6H	541275234	0.88
HORVU6Hr1G083440	6H	551429657	0.85
HORVU6Hr1G060830	6H	406398644	0.08
HORVU6Hr1G035000	6H	165917648	0.03
HORVU6Hr1G027050	6H	104060786	0.01
HORVU6Hr1G080750	6H	542690955	0.89
HORVU6Hr1G074220	6H	513108807	0.25
HORVU6Hr1G088220	6H	566010938	1.01
HORVU6Hr1G079700	6H	538505304	0.77
HORVU6Hr1G020140	6H	55807794	0.04
HORVU6Hr1G016360	6H	36808382	0.63
HORVU6Hr1G013080	6H	26033126	1.3
HORVU6Hr1G016230	6H	36185374	0.66
HORVU6Hr1G033340	6H	151720755	0.03
HORVU6Hr1G029110	6H	117893562	0.04
HORVU6Hr1G044020	6H	250399525	0
HORVU6Hr1G074660	6H	515259014	0.27
HORVU6Hr1G022310	6H	70286920	0.05
HORVU6Hr1G078660	6H	535514586	0.71
HORVU6Hr1G087460	6H	564085703	0.99
HORVU6Hr1G049880	6H	302277175	0
HORVU6Hr1G022950	6H	74105627	0.03
HORVU6Hr1G014860	6H	32260487	0.87
HORVU6Hr1G064230	6H	434906477	0.07
HORVU6Hr1G040130	6H	213977712	0.01
HORVU6Hr1G075850	6H	522296342	0.44
HORVU6Hr1G068810	6H	477261288	0.13
HORVU6Hr1G057590	6H	374526309	0.07
HORVU6Hr1G044080	6H	251136039	0
HORVU6Hr1G086570	6H	561760000	0.94
HORVU6Hr1G055570	6H	353407798	0.03
HORVU6Hr1G027660	6H	109668342	0.02
HORVU6Hr1G069110	6H	478387314	0.13
HORVU6Hr1G062340	6H	417601812	0.08
HORVU6Hr1G022430	6H	71268725	0.04
HORVU6Hr1G081160	6H	544587996	0.87
HORVU6Hr1G054070	6H	340819594	0.02
HORVU6Hr1G080280	6H	541247948	0.88
HORVU6Hr1G066470	6H	460161434	0.06
HORVU6Hr1G073510	6H	509041949	0.25
HORVU6Hr1G070870	6H	493900521	0.15
HORVU6Hr1G067130	6H	465301370	0.08
HORVU6Hr1G038700	6H	198574495	0.02
HORVU6Hr1G028700	6H	114432998	0.04
HORVU6Hr1G067890	6H	471253660	0.1
HORVU6Hr1G030530	6H	128202808	0.03
HORVU6Hr1G023040	6H	74343823	0.03
HORVU6Hr1G041650	6H	229632667	0
HORVU6Hr1G030990	6H	130981717	0.03
HORVU6Hr1G019930	6H	55137978	0.05
HORVU6Hr1G065750	6H	453277057	0.05
HORVU6Hr1G038450	6H	195624692	0.02
HORVU6Hr1G071890	6H	499358504	0.19
HORVU6Hr1G064670	6H	440818816	0.06
HORVU6Hr1G019650	6H	53647954	0.09
HORVU6Hr1G016940	6H	38571660	0.54
HORVU6Hr1G070330	6H	488886522	0.13
HORVU6Hr1G093060	6H	578869005	1.23
HORVU6Hr1G076060	6H	523783634	0.48
HORVU6Hr1G076780	6H	527178924	0.55
HORVU6Hr1G063210	6H	425473952	0.08
HORVU6Hr1G081020	6H	544093660	0.88
HORVU6Hr1G030590	6H	128364135	0.03
HORVU6Hr1G060020	6H	397263111	0.08
HORVU6Hr1G075600	6H	520314888	0.38
HORVU6Hr1G032270	6H	140840171	0.03
HORVU6Hr1G026260	6H	98102268	0
HORVU6Hr1G021630	6H	66484961	0.06
HORVU6Hr1G074860	6H	516255926	0.28
HORVU6Hr1G065110	6H	445342246	0.05
HORVU6Hr1G080800	6H	542860218	0.89
HORVU6Hr1G056850	6H	366312255	0.05
HORVU6Hr1G036950	6H	184751830	0.02
HORVU6Hr1G014490	6H	30806492	0.97
HORVU6Hr1G089250	6H	568471093	1.06
HORVU6Hr1G094240	6H	580849152	1.26
HORVU6Hr1G093460	6H	579537594	1.24
HORVU6Hr1G077010	6H	527832876	0.56
HORVU6Hr1G020480	6H	58140225	0.04
HORVU6Hr1G081180	6H	544591426	0.87
HORVU6Hr1G073010	6H	506827702	0.2
HORVU6Hr1G071950	6H	499992164	0.2
HORVU6Hr1G082230	6H	547552746	0.87
HORVU6Hr1G038750	6H	199022602	0.02
HORVU6Hr1G076770	6H	527174896	0.55
HORVU6Hr1G066240	6H	459081030	0.06
HORVU6Hr1G037140	6H	185893356	0.02
HORVU6Hr1G073380	6H	508621991	0.24
HORVU6Hr1G078770	6H	535840834	0.71
HORVU6Hr1G066460	6H	460086076	0.06
HORVU6Hr1G074030	6H	512158867	0.25
HORVU6Hr1G069190	6H	479031100	0.14
HORVU6Hr1G027240	6H	105317005	0.01
HORVU6Hr1G089600	6H	570135624	1.09
HORVU6Hr1G052920	6H	326690420	0.01
HORVU6Hr1G079790	6H	538970421	0.8
HORVU6Hr1G071520	6H	497057507	0.17
HORVU6Hr1G065360	6H	448134877	0.05
HORVU6Hr1G094470	6H	581260966	1.27
HORVU6Hr1G066430	6H	459827463	0.06
HORVU6Hr1G018030	6H	44178474	0.26
HORVU6Hr1G092790	6H	578249776	1.22
HORVU6Hr1G059860	6H	396231206	0.09
HORVU6Hr1G055520	6H	353292944	0.03
HORVU6Hr1G066890	6H	463615862	0.07
HORVU6Hr1G088580	6H	566850636	1.03
HORVU6Hr1G038460	6H	196098697	0.02
HORVU6Hr1G016390	6H	36896659	0.63
HORVU6Hr1G093510	6H	579612630	1.24
HORVU6Hr1G079120	6H	536767313	0.73
HORVU6Hr1G080920	6H	543604198	0.89
HORVU6Hr1G018510	6H	47266293	0.25
HORVU6Hr1G012800	6H	25297583	1.32
HORVU6Hr1G036810	6H	182972837	0.02
HORVU6Hr1G033450	6H	152805493	0.03
HORVU6Hr1G094880	6H	582422219	1.29
HORVU6Hr1G068760	6H	477076730	0.13
HORVU6Hr1G068690	6H	476332174	0.12
HORVU6Hr1G016120	6H	36030729	0.67
HORVU6Hr1G018540	6H	47374898	0.24
HORVU6Hr1G028140	6H	111625098	0.03
HORVU6Hr1G014800	6H	32053508	0.88
HORVU6Hr1G077150	6H	528852814	0.58
HORVU6Hr1G079730	6H	538637833	0.78
HORVU6Hr1G070560	6H	491265558	0.13
HORVU6Hr1G015100	6H	32785927	0.83
HORVU6Hr1G062320	6H	417370989	0.08
HORVU6Hr1G036110	6H	176516930	0.02
HORVU6Hr1G088840	6H	567540076	1.04
HORVU6Hr1G058930	6H	388366010	0.08
HORVU6Hr1G095080	6H	582775148	1.29
HORVU6Hr1G069400	6H	481011705	0.13
HORVU6Hr1G013710	6H	28573262	1.16
HORVU6Hr1G018770	6H	48592558	0.19
HORVU6Hr1G069120	6H	478424269	0.13
HORVU6Hr1G069350	6H	480726291	0.13
HORVU6Hr1G056860	6H	366398977	0.05
HORVU6Hr1G040920	6H	222145614	0.01
HORVU6Hr1G029060	6H	117463286	0.04
HORVU6Hr1G093300	6H	579277930	1.24
HORVU6Hr1G044440	6H	254992151	0
HORVU6Hr1G030220	6H	125555357	0.03
HORVU6Hr1G095130	6H	583093713	1.3
HORVU6Hr1G083680	6H	552312785	0.81
HORVU6Hr1G060850	6H	406692607	0.08
HORVU6Hr1G013580	6H	28122558	1.19
HORVU6Hr1G051070	6H	310461921	0
HORVU6Hr1G075250	6H	518601802	0.33
HORVU6Hr1G064580	6H	438798146	0.06
HORVU6Hr1G031080	6H	131357502	0.03
HORVU6Hr1G047180	6H	278413062	0
HORVU6Hr1G085950	6H	560539661	0.9
HORVU6Hr1G072910	6H	506193778	0.19
HORVU6Hr1G075300	6H	518936533	0.34
HORVU6Hr1G015390	6H	33718806	0.78
HORVU6Hr1G053640	6H	335729021	0.01
HORVU6Hr1G083690	6H	552350850	0.8
HORVU6Hr1G067620	6H	468605883	0.09
HORVU6Hr1G078640	6H	535376289	0.7
HORVU6Hr1G048600	6H	295125066	0
HORVU6Hr1G059210	6H	391467060	0.08
HORVU6Hr1G082600	6H	548778315	0.89
HORVU6Hr1G049950	6H	302446931	0
HORVU6Hr1G061440	6H	411381275	0.08
HORVU6Hr1G086440	6H	561583187	0.94
HORVU6Hr1G085560	6H	559348347	0.83
HORVU6Hr1G090910	6H	573700326	1.15
HORVU6Hr1G067200	6H	465689696	0.08
HORVU6Hr1G075640	6H	520976308	0.4
HORVU6Hr1G072260	6H	502461589	0.19
HORVU6Hr1G089190	6H	568275012	1.06
HORVU6Hr1G085500	6H	558901156	0.8
HORVU6Hr1G051470	6H	313379083	0
HORVU6Hr1G058450	6H	383141370	0.08
